trilogy
name,wc,gender
DONKEY,4390,male
SHREK,3687,male
FIONA,1893,female
FAIRY GODMOTHER,1085,female
KING HAROLD,855,male
PRINCE CHARMING,677,male
PUSS,670,male
FARQUAAD,657,male
QUEEN,219,female
MIRROR,200,male
GUARD,165,male
GINGY,162,male
ROBIN HOOD,119,male
REPORTER,69,male - DELETE
ANNOUNCER,67,male - DELETE
PINOCCHIO,65,male
OLD WOMAN,58,female - DELETE
UGLY STEPSISTER,57,female
INQUISITOR,56,male
JEROME,54,male

1
name,wc,gender
DONKEY,2679,male
SHREK,1900,male
FIONA,1164,female
FARQUAAD,657,male
MIRROR,200,male
GUARD,134,male
ROBIN HOOD,119,male
OLD WOMAN,58,female - DELETE
WOODEN PEOPLE,54,male
GINGY,44,male
UNKNOWN,41,unknown - DELETE
MEN,37,male - DELETE
PRIEST,35,male
MERRY MEN,33,male
BLIND MOUSE,31,male
PINOCCHIO,16,male
LITTLE PIG,11,male
DWARF,10,male
PETER PAN,9,male
GUARDS,7,male

2
name,wc,gender
DONKEY,1508,male
SHREK,1329,male
FAIRY GODMOTHER,1085,female
KING HAROLD,763,male
FIONA,567,female
PUSS,527,male
PRINCE CHARMING,351,male
QUEEN,214,female
GINGY,104,male
REPORTER,69,male
ANNOUNCER,67,male
UGLY STEPSISTER,57,female
INQUISITOR,56,male
JEROME,54,male
LADIES,52,female
PINOCCHIO,47,male
TV,40,male
GUARD,31,male
ATTENDANT,21,male
MESSENGER,17,male

3
name,wc,gender
SHREK,458,male
PRINCE CHARMING,326,male
DONKEY,203,male
FIONA,162,male
PUSS,143,male
KING HAROLD,92,male
GINGY,14,male
MABEL,13,female
RAUL,10,male
MASTER OF CEREMONIES,8,male
CAPTAIN HOOK,8,male
CROWD,8,unknown
WAITER,8,male - DELETE
EVIL QUEEN,7,female
CYCLOPS,6,male
ACTRESS,6,female
PUPPET MASTER,6,male
QUEEN,5,female
OLD LADY,4,female - DELETE
WOMAN,4,female - DELETE
