,dialog,name,timestamp
0,"Onward, Chauncey!",PRINCE CHARMING,54.8475
1,To the highest room of the tallest tower...,PRINCE CHARMING,57.132
2,...where my princess awaits rescue from her handsome Prince Charming!,PRINCE CHARMING,61.1195
3,"This is worse than ""Love Letters"". I hate dinner theater!",GINGERBREAD MAN,76.904
4,"Me, too.",PINOCCHIO,79.8065
5,"Whoa there, Chauncey!",PRINCE CHARMING,83.0235
6,Hark! The brave Prince Charming approacheth.,ACTRESS,87.16
7,"Fear not, fair maiden. I shall slay the monster that guards you...",PRINCE CHARMING,91.2195
8,...then take my place as rightful king.,PRINCE CHARMING,95.0075
9,What did she say?,OLD LADY,97.405
10,It's Shrek!,AUDIENCE,102.6805
11,"Whoo, Shrek, yeah!",AUDIENCE,104.4805
12,"Prepare, foul beast...",PRINCE CHARMING,108.6005
13,...to enter into a world of pain with which you are not familiar!,PRINCE CHARMING,112.121
14,Happy birthday to thee Happy birthday to thee,WAITER,115.874
15,Do you mind?,PRINCE CHARMING,117.928
16,Do you mind? Boring!,GINGERBREAD MAN,120.4795
17,"Prepare, foul beast...",PRINCE CHARMING,127.739
18,Someday you'll be sorry.,PRINCE CHARMING,139.265
19,We already are!,AUDIENCE,141.8335
20,Mommy...,PRINCE CHARMING,168.6955
21,You're right. I can't let this happen.,PRINCE CHARMING,175.032
22,I can't!,PRINCE CHARMING,178.2895
23,I am the rightful King of Far Far Away.,PRINCE CHARMING,182.009
24,"And I promise you this, Mother...",PRINCE CHARMING,185.0765
25,...I will restore dignity to my throne.,PRINCE CHARMING,187.831
26,"And this time,",PRINCE CHARMING,194.352
27,no one will stand in my way.,PRINCE CHARMING,197.123
28,Good morning.,SHREK,216.9925
29,Good morning.,FIONA,219.6615
30,Morning breath.,FIONA,222.68
31,I know. Isn't it wonderful?,SHREK,224.9175
32,"Good morning, good morning",DONKEY,228.0885
33,The sun is shining through,DONKEY,230.876
34,"Good morning, good morning To you",DONKEY,233.3085
35,And you! And you!,DONKEY,235.6105
36,They grow up so fast.,DONKEY,241.4335
37,Not fast enough.,SHREK,243.4685
38,You'll be filling in for the King and Queen.,PUSS,247.94
39,"Several functions require your attendance, sir.",PUSS,251.0275
40,Great! Let's get started.,SHREK,254.4145
41,"Come on, lazybones. Time to get moving!",DONKEY,257.6185
42,You need to get a pair ofjammies.,DONKEY,261.004
43,I got some sleep and I needed it,SHREK,271.1975
44,"Not a lot, just a little bit",SHREK,274.317
45,Someone's always trying to keep me from it,SHREK,277.369
